Sub-SN,Part Number,Station1 Measurement,Station2 Measurement,Station3 Measurement,Station4 Measurement,Station5 Measurement,Station6 Measurement,Station7 Measurement,Station8 Measurement,Station9 Measurement,Station10 Measurement
SBN00000100,PCB0003,10.314,10.159,9.709,9.572,10.306,10.218,10.003,8.886,9.934,10.766
SBN00000101,PCB0001,9.78,10.407,9.705,9.923,10.225,9.916,9.888,10.165,10.558,10.097
SBN00000102,PCB0003,9.692,10.578,10.108,9.792,9.492,9.942,10.64,9.581,9.565,9.546
SBN00000103,PCB0003,10.383,10.575,9.096,15.32,9.849,10.627,9.659,9.368,9.874,9.529
SBN00000104,PCB0003,10.422,9.121,9.981,15.036,9.84,10.444,10.451,9.697,9.462,9.763
SBN00000105,PCB0002,10.476,8.691,9.898,9.479,9.94,10.479,9.88,9.7,9.874,10.562
SBN00000106,PCB0003,10.306,10.177,9.941,9.71,10.527,9.931,10.243,10.004,9.942,10.499
SBN00000107,PCB0001,9.83,9.986,9.911,10.349,9.875,10.027,9.589,9.92,9.355,10.617
SBN00000108,PCB0002,10.861,8.755,9.667,9.209,10.046,9.788,10.333,9.753,9.849,9.447
SBN00000109,PCB0002,9.851,9.709,9.995,10.802,9.612,10.678,10.677,9.797,9.668,9.299
SBN00000110,PCB0001,9.154,9.832,10.121,10.392,9.897,10.567,10.649,9.424,9.517,10.651
SBN00000111,PCB0003,9.837,10.341,9.656,9.804,9.49,9.739,10.032,10.876,10.101,9.822
SBN00000112,PCB0003,9.751,10.034,9.341,9.61,10.305,9.786,9.215,11.145,10.29,9.463
SBN00000113,PCB0003,10.336,10.293,11.155,9.737,9.702,9.916,10.235,10.877,9.916,10.574
SBN00000114,PCB0002,9.801,10.139,10.609,9.327,9.697,9.964,10.337,9.868,9.602,10.313
SBN00000115,PCB0001,9.979,10.423,9.44,10.074,9.826,9.956,10.064,9.671,11.124,10.935
SBN00000116,PCB0003,9.104,9.161,10.465,9.936,9.863,9.533,10.136,10.005,9.984,10.349
SBN00000117,PCB0001,9.729,9.586,10.429,10.372,10.22,9.771,9.277,10.463,9.913,9.421
SBN00000118,PCB0001,10.031,10.602,10.396,9.581,9.555,9.538,9.659,10.811,9.758,10.07
SBN00000119,PCB0001,10.185,9.266,9.954,9.949,10.016,10.197,10.829,10.174,9.897,9.953
SBN00000120,PCB0002,10.722,10.269,10.013,9.498,9.902,9.326,9.827,10.25,9.98,9.937
SBN00000121,PCB0001,10.647,9.911,10.646,10.268,9.389,9.649,10.028,9.994,9.64,10.519
SBN00000122,PCB0003,10.326,10.41,10.144,10.631,10.029,10.937,9.555,10.103,10.354,11.123
SBN00000123,PCB0001,9.675,10.474,10.259,9.221,10.139,9.379,10.69,9.961,9.913,9.294
SBN00000124,PCB0001,9.539,9.753,10.524,10.052,10.199,10.772,10.442,9.666,10.902,9.843
SBN00000125,PCB0002,10.727,10.352,9.644,10.204,9.602,9.845,9.527,10.393,10.647,10.131
SBN00000126,PCB0002,9.685,9.533,10.391,9.398,10.465,9.767,9.313,10.992,9.855,10.179
SBN00000127,PCB0003,9.658,8.829,10.44,11.031,10.483,9.407,9.356,10.502,9.818,10.388
SBN00000128,PCB0003,10.829,11.6,10.111,8.292,10.623,9.272,9.532,9.825,10.568,10.275
SBN00000129,PCB0003,10.016,9.551,9.687,10.888,10.004,9.344,10.016,9.292,9.488,9.965
SBN00000130,PCB0003,10.104,9.761,10.942,15.365,9.066,9.678,10.108,10.036,9.356,9.211
SBN00000131,PCB0002,9.882,9.947,8.978,10.161,10.074,9.057,11.201,10.493,9.749,8.968
SBN00000132,PCB0001,9.371,9.21,9.371,9.661,10.691,10.85,9.794,9.833,10.85,8.626
SBN00000133,PCB0003,8.858,10.041,9.913,9.601,9.613,9.69,10.284,9.395,10.699,10.663
SBN00000134,PCB0003,10.033,10.318,9.936,10.364,9.59,10.295,10.269,9.958,8.793,9.426
SBN00000135,PCB0001,9.638,10.932,10.17,10.623,9.791,10.208,9.837,9.668,9.52,9.955
SBN00000136,PCB0001,10.08,10.658,10.905,10.068,9.883,8.764,10.648,10.174,9.524,10.208
SBN00000137,PCB0002,10.258,11.255,10.491,9.29,11.009,9.688,10.305,9.268,10.371,10.263
SBN00000138,PCB0002,10.464,9.474,9.957,10.362,10.56,9.577,11.376,10.266,9.672,10.402
SBN00000139,PCB0001,10.442,10.174,10.113,9.571,10.633,9.889,10.008,10.31,9.989,10.166
SBN00000140,PCB0003,9.787,9.672,10.916,10.518,9.933,9.244,10.743,9.486,10.217,10.568
SBN00000141,PCB0002,9.707,9.937,10.237,10.361,9.459,9.341,8.992,9.22,10.603,10.512
SBN00000142,PCB0001,9.439,9.692,9.86,10.351,9.862,10.507,10.056,10.227,9.946,10.647
SBN00000143,PCB0003,10.08,9.906,10.185,9.764,10.677,9.517,9.863,9.8,10.023,10.081
SBN00000144,PCB0002,9.676,9.182,9.599,16.033,10.428,9.278,10.02,10.722,10.245,10.353
SBN00000145,PCB0002,9.745,10.306,10.204,9.953,11.091,11.141,9.635,9.954,9.935,10.094
SBN00000146,PCB0001,9.825,9.939,9.063,9.445,11.021,9.868,9.834,9.801,9.937,10.51
SBN00000147,PCB0001,8.938,10.282,9.367,9.896,10.223,10.68,9.243,9.361,10.139,8.971
SBN00000148,PCB0003,9.874,9.582,9.677,10.169,11.079,10.115,9.428,9.443,10.813,9.456
SBN00000149,PCB0001,10.136,9.996,9.826,9.646,11.135,9.842,9.724,10.645,9.681,10.05
SBN00000150,PCB0002,9.511,10.53,10.335,10.591,9.447,10.005,10.179,9.881,10.153,10.538
SBN00000151,PCB0001,9.662,10.043,10.07,9.474,10.029,9.281,10.782,10.356,9.032,10.627
SBN00000152,PCB0003,9.859,9.342,9.506,10.183,9.347,11.261,9.88,10.09,10.288,10.238
SBN00000153,PCB0003,10.394,9.632,10.153,10.559,9.673,9.749,9.896,10.519,9.801,10.879
SBN00000154,PCB0002,10.679,10.461,9.776,9.563,10.504,9.488,11.62,9.547,11.013,9.83
SBN00000155,PCB0002,10.568,10.043,9.905,10.28,10.558,10.237,9.55,9.828,9.378,10.576
SBN00000156,PCB0003,9.925,8.906,11.686,10.383,10.155,9.27,9.507,10.968,9.597,9.572
SBN00000157,PCB0003,10.704,9.348,9.296,9.91,10.309,10.634,10.272,9.96,10.186,9.665
SBN00000158,PCB0002,9.864,10.028,9.49,10.649,10.077,9.729,10.879,9.325,8.974,9.897
SBN00000159,PCB0003,10.41,9.577,10.417,10.717,9.986,11.044,9.219,9.31,10.408,9.461
SBN00000160,PCB0003,9.764,9.697,11.948,10.159,9.928,9.911,9.418,9.827,10.138,10.19
SBN00000161,PCB0002,10.391,8.919,9.269,10.618,10.267,10.072,10.198,9.919,10.739,10.661
SBN00000162,PCB0001,9.578,8.979,9.652,9.368,9.253,9.483,9.27,9.638,9.545,9.879
SBN00000163,PCB0003,9.846,9.504,10.197,10.975,10.418,8.705,9.762,9.966,10.161,10.28
SBN00000164,PCB0002,10.349,11.188,10.003,9.911,9.965,10.128,10.929,10.734,10.134,9.092
SBN00000165,PCB0002,9.15,10.1,10.239,10.032,10.64,9.942,9.561,9.537,9.015,10.216
SBN00000166,PCB0003,10.251,10.684,9.925,10.446,9.858,11.003,9.152,10.315,9.428,9.952
SBN00000167,PCB0001,10.411,9.956,10.1,10.411,10.081,9.063,9.821,10.262,10.048,9.922
SBN00000168,PCB0003,10.275,9.5,9.314,9.852,10.287,10.418,10.178,9.883,9.77,9.858
SBN00000169,PCB0002,10.501,10.142,9.914,10.211,9.932,9.576,9.246,11.146,9.474,10.268
SBN00000170,PCB0003,10.045,10.382,9.895,11.362,10.173,10.002,10.259,9.247,10.469,10.177
SBN00000171,PCB0003,10.781,10.291,10.571,15.736,9.516,9.542,10.877,10.008,10.228,9.802
SBN00000172,PCB0001,10.067,9.974,10.189,9.562,10.645,10.729,9.711,10.297,9.54,10.77
SBN00000173,PCB0001,10.252,9.955,9.354,10.143,10.805,9.936,9.583,10.301,10.487,10.607
SBN00000174,PCB0002,10.214,10.986,10.056,10.215,9.458,10.381,9.821,10.414,10.28,10.471
SBN00000175,PCB0001,9.85,9.004,10.499,9.136,10.073,9.871,10.123,10.496,9.916,9.915
SBN00000176,PCB0001,9.931,9.89,9.68,9.734,10.509,9.925,10.406,9.677,10.593,10.302
SBN00000177,PCB0003,9.836,10.251,10.845,9.993,10.308,9.851,10.493,9.687,10.272,10.685
SBN00000178,PCB0001,9.735,10.668,9.838,9.418,10.339,10.211,9.532,9.929,8.997,11.171
SBN00000179,PCB0003,10.585,10.276,10.008,10.25,10.167,9.475,10.407,10.723,10.658,9.266
SBN00000180,PCB0003,10.057,10.186,10.839,8.539,10.777,10.546,10.168,10.52,8.689,10.428
SBN00000181,PCB0001,9.983,10.339,10.77,10.502,10.001,9.577,10.237,9.562,10.175,9.454
SBN00000182,PCB0003,10.331,10.932,10.665,10.642,9.598,10.091,9.487,10.601,9.159,9.936
SBN00000183,PCB0003,9.357,9.602,10.84,10.68,9.581,10.762,10.323,9.958,10.484,10.322
SBN00000184,PCB0002,10.279,9.411,10.337,10.486,9.907,9.099,9.34,10.899,9.24,10.012
SBN00000185,PCB0001,9.196,10.102,10.753,9.75,10.396,9.681,9.788,10.623,8.719,9.807
SBN00000186,PCB0001,9.382,9.826,10.658,10.505,9.557,9.102,9.785,10.562,8.955,9.656
SBN00000187,PCB0002,10.378,10.199,9.714,9.611,9.924,10.291,10.829,9.618,9.989,10.613
SBN00000188,PCB0002,9.345,10.549,10.127,9.999,9.976,11.171,9.46,9.278,10.316,10.228
SBN00000189,PCB0002,9.301,10.611,10.552,9.889,10.342,9.317,10.306,9.458,9.902,10.226
SBN00000190,PCB0002,9.633,9.859,9.331,10.761,9.787,9.748,9.438,9.468,9.695,10.012
SBN00000191,PCB0001,10.071,9.687,10.271,9.736,9.779,11.297,10.16,10.243,9.959,10.318
SBN00000192,PCB0001,9.824,9.674,9.147,10.262,9.688,10.172,9.539,9.302,10.202,10.328
SBN00000193,PCB0003,9.691,9.767,10.423,9.013,9.29,10.158,9.138,10.209,9.23,9.597
SBN00000194,PCB0001,9.643,9.506,10.387,9.16,11.031,10.686,9.474,10.36,10.317,10.447
SBN00000195,PCB0001,9.943,10.35,10.254,10.025,9.807,9.109,10.404,10.039,10.403,9.846
SBN00000196,PCB0001,11.112,10.521,9.385,9.052,9.466,10.469,9.289,10.851,9.862,11.041
SBN00000197,PCB0003,10.424,10.088,8.922,9.471,9.717,9.635,9.368,10.352,10.025,10.056
SBN00000198,PCB0002,10.262,11.207,10.406,9.797,10.128,10.579,10.506,9.816,10.301,9.911
SBN00000199,PCB0001,10.1,10.061,10.075,9.728,9.937,10.223,8.741,10.17,10.301,10.414
SBN00000200,PCB0002,9.493,10.016,8.817,10.223,9.996,9.483,9.739,9.47,10.704,9.798
SBN00000201,PCB0001,9.475,10.148,9.301,10.609,10.286,9.808,10.295,10.805,9.835,10.211
SBN00000202,PCB0003,10.082,9.74,9.856,15.107,10.355,10.75,9.275,9.606,10.397,10.182
SBN00000203,PCB0002,10.446,10.048,9.663,10.263,9.719,9.89,9.57,10.594,9.042,10.288
SBN00000204,PCB0001,9.67,11.349,11.171,10.009,10.095,9.947,10.205,10.333,10.342,9.254
SBN00000205,PCB0003,10.17,10.129,11.073,9.489,10.17,10.261,9.852,10.814,9.95,9.06
SBN00000206,PCB0002,10.395,10.092,9.993,9.851,10.243,9.498,10.444,11.077,9.967,10.279
SBN00000207,PCB0002,10.494,9.672,9.572,10.015,11.247,9.955,9.399,9.847,9.474,9.072
SBN00000208,PCB0001,9.709,10.932,9.697,9.901,10.212,9.169,9.392,10.767,9.765,9.759
SBN00000209,PCB0002,9.209,9.524,10.137,9.264,9.764,10.174,10.788,9.484,9.12,9.482
SBN00000210,PCB0001,10.112,10.384,10.171,10.197,10.539,10.873,9.282,9.734,9.665,10.572
SBN00000211,PCB0001,9.46,10.464,9.974,10.191,9.941,10.056,9.852,10.662,9.753,10.692
SBN00000212,PCB0001,9.755,10.268,9.641,9.479,10.335,10.942,9.693,9.913,10.12,9.618
SBN00000213,PCB0002,11.173,9.154,9.198,14.474,9.97,9.498,9.639,9.441,9.893,9.717
SBN00000214,PCB0002,10.766,9.871,9.806,9.822,9.857,8.046,10.039,10.225,10.3,8.747
SBN00000215,PCB0003,10.695,9.879,10.45,9.168,9.978,10.386,10.477,10.342,10.1,10.248
SBN00000216,PCB0003,9.712,10.193,10.751,9.333,10.43,8.502,10.273,10.084,10.129,10.157
SBN00000217,PCB0002,9.717,10.113,9.52,10.962,10.497,10.132,9.214,10.246,10.274,9.871
SBN00000218,PCB0001,9.858,10.523,9.937,10.309,9.303,9.837,9.834,10.295,9.243,9.801
SBN00000219,PCB0002,10.843,9.511,9.841,10.197,9.24,9.942,9.828,9.486,10.026,9.96
SBN00000220,PCB0002,9.977,10.002,10.44,9.557,11.014,9.592,9.758,10.22,10.014,9.503
SBN00000221,PCB0002,9.893,9.92,10.565,10.455,9.422,9.558,8.826,10.12,9.309,9.762
SBN00000222,PCB0001,10.191,10.835,9.446,10.171,9.257,10.507,8.738,9.892,10.888,9.988
SBN00000223,PCB0001,9.5,9.16,10.028,10.345,10.118,9.87,9.88,9.4,9.982,9.87
SBN00000224,PCB0001,10.145,10.16,9.914,11.11,9.762,9.599,10.074,10.531,9.784,10.238
SBN00000225,PCB0003,9.747,9.428,10.156,9.986,10.555,10.402,9.914,9.37,9.308,10.545
SBN00000226,PCB0001,10.503,9.163,9.322,10.401,9.484,9.874,9.525,9.402,9.955,9.911
SBN00000227,PCB0001,9.803,10.024,10.04,9.637,9.107,10.435,9.386,10.436,10.805,10.711
SBN00000228,PCB0002,10.394,9.515,10.092,9.119,9.826,10.233,10.335,9.689,9.442,10.217
SBN00000229,PCB0002,9.794,10.382,10.551,15.394,9.613,11.577,10.156,10.506,9.797,9.919
SBN00000230,PCB0001,10.179,9.67,10.152,9.988,10.341,10.295,9.653,10.446,10.335,10.958
SBN00000231,PCB0003,9.883,10.242,9.611,9.57,11.282,10.14,10.179,10.473,9.571,10.191
SBN00000232,PCB0001,10.68,10.35,9.472,10.514,9.615,10.337,10.256,10.067,9.151,10.304
SBN00000233,PCB0001,10.029,9.657,10.308,10.293,9.137,9.974,9.394,9.974,10.656,9.387
SBN00000234,PCB0003,10.5,9.774,10.144,9.662,11.27,9.961,10.378,10.262,10.652,9.538
SBN00000235,PCB0001,8.564,10.784,10.223,15.465,9.858,9.626,9.158,10.046,8.991,10.306
SBN00000236,PCB0003,10.627,10.241,9.717,9.562,10.232,10.495,10.744,10.401,10.148,10.1
SBN00000237,PCB0003,10.934,9.675,10.123,9.604,10.227,8.722,10.593,9.541,10.223,10.539
SBN00000238,PCB0002,9.568,9.885,10.697,9.659,10.259,10.564,9.548,10.458,10.036,10.518
SBN00000239,PCB0003,10.338,10.025,9.431,10.115,9.652,9.964,10.119,10.35,10.417,10.514
SBN00000240,PCB0002,8.942,10.153,10.611,9.885,9.53,9.486,9.329,10.076,10.816,10.693
SBN00000241,PCB0003,9.462,10.28,9.714,10.427,10.171,10.226,9.912,10.016,9.509,9.9
SBN00000242,PCB0001,9.014,9.997,9.198,9.769,10.771,9.65,9.478,9.559,9.897,9.942
SBN00000243,PCB0002,9.243,10.739,9.505,9.268,9.502,11.351,10.367,10.352,10.378,9.504
SBN00000244,PCB0001,9.595,9.785,10.63,14.762,9.086,10.444,10.0,9.935,10.306,9.393
SBN00000245,PCB0002,9.978,9.901,9.836,9.964,9.868,10.168,10.185,10.559,10.788,9.303
SBN00000246,PCB0002,10.512,8.854,9.829,10.062,10.121,10.996,8.917,11.001,9.914,9.922
SBN00000247,PCB0002,9.966,10.031,10.678,9.457,10.555,9.646,10.285,9.39,9.595,9.66
SBN00000248,PCB0002,10.369,9.168,8.863,10.23,10.147,9.656,8.788,10.467,10.391,9.813
SBN00000249,PCB0001,9.688,10.258,10.397,10.107,9.258,9.97,11.166,9.77,10.782,10.633
SBN00000250,PCB0002,10.299,9.353,10.422,9.99,9.786,10.17,9.64,9.187,10.815,10.303
SBN00000251,PCB0001,9.011,9.695,9.865,9.47,9.71,9.752,9.877,9.422,10.656,10.224
SBN00000252,PCB0001,9.344,9.736,10.309,9.791,10.665,10.569,9.397,9.908,10.098,9.964
SBN00000253,PCB0001,10.186,10.273,11.154,9.52,10.048,9.302,10.797,10.553,10.886,10.453
SBN00000254,PCB0002,10.474,10.343,10.478,10.636,10.373,9.972,10.247,11.015,10.085,9.721
SBN00000255,PCB0003,10.43,10.621,9.684,9.776,10.329,9.068,10.276,10.571,9.846,9.592
SBN00000256,PCB0002,10.66,9.55,10.09,10.831,10.245,10.016,10.147,10.036,9.41,9.109
SBN00000257,PCB0002,9.827,9.653,10.897,10.787,10.0,9.765,9.655,9.143,10.48,10.013
SBN00000258,PCB0002,10.076,10.275,9.817,10.684,10.291,10.032,9.75,9.607,10.98,9.753
SBN00000259,PCB0001,9.4,10.609,10.042,10.065,9.372,9.723,11.07,9.685,9.974,10.229
